country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
Finland,1,7.769,1.34,,0.986,0.596,0.153,0.393,1.587,Europe,5532.159,"$48,868.74 "
Denmark,2,7.6,1.383,,0.996,0.592,0.252,0.41,1.573,Europe,5771.877,"$59,795.27 "
Norway,3,7.554,1.488,,1.028,0.603,0.271,0.341,1.582,Europe,5378.859,"$77,975.43 "
Iceland,4,7.494,1.38,,1.026,0.591,0.354,0.118,1.624,Europe,339.037,"$67,037.34 "
Netherlands,5,7.488,1.396,,0.999,0.557,0.322,0.298,1.522,Europe,17097.123,"$52,367.85 "
Switzerland,6,7.48,1.452,,1.052,0.572,0.263,0.343,1.526,Europe,8591.361,"$83,716.81 "
Sweden,7,7.343,1.387,,1.009,0.574,0.267,0.373,1.487,Europe,10036.391,"$51,241.91 "
New Zealand,8,7.307,1.303,,1.026,0.585,0.33,0.38,1.557,Oceania,4783.062,"$40,634.14 "
Canada,9,7.278,1.365,,1.039,0.584,0.285,0.308,1.505,North America,37411.038,"$46,212.84 "
Austria,10,7.246,1.376,,1.016,0.532,0.244,0.226,1.475,Europe,8955.108,"$50,022.61 "
Australia,11,7.228,1.372,,1.036,0.557,0.332,0.29,1.548,Oceania,25203.2,"$53,825.16 "
Costa Rica,12,7.167,1.034,,0.963,0.558,0.144,0.093,1.441,North America,5047.561,"$12,014.80 "
Israel,13,7.139,1.276,,1.029,0.371,0.261,0.082,1.455,Asia,8519.373,"$42,823.31 "
Luxembourg,14,7.09,1.609,,1.012,0.526,0.194,0.316,1.479,Europe,615.73,"$113,196.49 "
United Kingdom,15,7.054,1.333,,0.996,0.45,0.348,0.278,1.538,Europe,67530.161,"$41,030.23 "
Ireland,16,7.021,1.499,,0.999,0.516,0.298,0.31,1.553,Europe,4882.498,"$77,771.21 "
Germany,17,6.985,1.373,,0.987,0.495,0.261,0.265,1.454,Europe,83517.046,"$46,563.99 "
Belgium,18,6.923,1.356,,0.986,0.473,0.16,0.21,1.504,Europe,11539.326,"$45,175.59 "
United States,19,6.892,1.433,,0.874,0.454,0.28,0.128,1.457,North America,329064.917,"$65,111.60 "
Czech Republic,20,6.852,1.269,,0.92,0.457,0.046,0.036,1.487,Europe,10689.213,"$23,213.95 "
United Arab Emirates,21,6.825,1.503,,0.825,0.598,0.262,0.182,1.31,Asia,9770.526,"$37,749.88 "
Malta,22,6.726,1.3,,0.999,0.564,0.375,0.151,1.52,Europe,440.377,"$30,650.17 "
Mexico,23,6.595,1.07,,0.861,0.433,0.074,0.073,1.323,North America,127575.529,"$10,118.17 "
France,24,6.592,1.324,,1.045,0.436,0.111,0.183,1.472,Europe,65129.731,"$41,760.61 "
Taiwan,25,6.446,1.368,,0.914,0.351,0.242,0.097,1.43,Asia,23773.881,"$24,827.90 "
Chile,26,6.444,1.159,,0.92,0.357,0.187,0.056,1.369,South America,18952.035,"$15,399.24 "
Guatemala,27,6.436,0.8,,0.746,0.535,0.175,0.078,1.269,North America,17581.476,"$4,616.85 "
Saudi Arabia,28,6.375,1.403,,0.795,0.439,0.08,0.132,1.357,Asia,34268.529,"$22,865.18 "
Qatar,29,6.374,1.684,,0.871,0.555,0.22,0.167,1.313,Asia,2832.071,"$69,687.55 "
Spain,30,6.354,1.286,,1.062,0.362,0.153,0.079,1.484,Europe,46736.782,"$29,961.11 "
Panama,31,6.321,1.149,,0.91,0.516,0.109,0.054,1.442,North America,4246.44,"$16,245.45 "
Brazil,32,6.3,1.004,,0.802,0.39,0.099,0.086,1.439,South America,211049.519,"$8,796.91 "
Uruguay,33,6.293,1.124,,0.891,0.523,0.127,0.15,1.465,South America,3461.731,"$17,029.25 "
Singapore,34,6.262,1.572,,1.141,0.556,0.271,0.453,1.463,Asia,5804.343,"$63,987.07 "
El Salvador,35,6.253,0.794,,0.789,0.43,0.093,0.074,1.242,North America,6453.55,"$4,008.02 "
Italy,36,6.223,1.294,,1.039,0.231,0.158,0.03,1.488,Europe,60550.092,"$32,946.52 "
Bahrain,37,6.199,1.362,,0.871,0.536,0.255,0.11,1.368,Asia,1641.164,"$25,273.15 "
Slovakia,38,6.198,1.246,,0.881,0.334,0.121,0.014,1.504,Europe,5457.012,"$19,547.66 "
Trinidad & Tobago,39,6.192,1.231,,0.713,0.489,0.185,0.016,1.477,North America,1394.969,"$16,365.64 "
Poland,40,6.182,1.206,,0.884,0.483,0.117,0.05,1.438,Europe,37887.771,"$14,901.55 "
Uzbekistan,41,6.174,0.745,,0.756,0.631,0.322,0.24,1.529,Asia,32981.715,"$1,831.57 "
Lithuania,42,6.149,1.238,,0.818,0.291,0.043,0.042,1.515,Europe,2759.631,"$19,266.79 "
Colombia,43,6.125,0.985,,0.841,0.47,0.099,0.034,1.41,South America,50339.443,"$6,508.13 "
Slovenia,44,6.118,1.258,,0.953,0.564,0.144,0.057,1.523,Europe,2078.654,"$26,170.25 "
Nicaragua,45,6.105,0.694,,0.835,0.435,0.2,0.127,1.325,North America,6545.503,"$1,919.17 "
Kosovo,46,6.1,0.882,,0.758,0.489,0.262,0.006,1.232,Europe,1617,"$4,442.36 "
Argentina,47,6.086,1.092,,0.881,0.471,0.066,0.05,1.432,South America,44780.675,"$9,887.79 "
Romania,48,6.07,1.162,,0.825,0.462,0.083,0.005,1.232,Europe,19364.558,"$12,482.97 "
Cyprus,49,6.046,1.263,,1.042,0.406,0.19,0.041,1.223,Europe,1198.574,$0.00 
Ecuador,50,6.028,0.912,,0.868,0.498,0.126,0.087,1.312,South America,17373.657,"$6,249.39 "
Kuwait,51,6.021,1.5,,0.808,0.493,0.142,0.097,1.319,Asia,4207.077,"$29,266.98 "
Thailand,52,6.008,1.05,,0.828,0.557,0.359,0.028,1.409,Asia,69625.581,"$7,791.95 "
Latvia,53,5.94,1.187,,0.812,0.264,0.075,0.064,1.465,Europe,1906.74,"$18,171.65 "
South Korea,54,5.895,1.301,,1.036,0.159,0.175,0.056,1.219,Asia,25666.158,$0.00 
Estonia,55,5.893,1.237,,0.874,0.495,0.103,0.161,1.528,Europe,1325.649,"$23,523.60 "
Jamaica,56,5.89,0.831,,0.831,0.49,0.107,0.028,1.478,North America,2948.277,"$5,460.98 "
Mauritius,57,5.888,1.12,,0.798,0.498,0.215,0.06,1.402,Africa,1269.67,"$11,360.67 "
Japan,58,5.886,1.327,,1.088,0.445,0.069,0.14,1.419,Asia,126860.299,"$40,846.78 "
Honduras,59,5.86,0.642,,0.828,0.507,0.246,0.078,1.236,North America,9746.115,"$2,548.46 "
Kazakhstan,60,5.809,1.173,,0.729,0.41,0.146,0.096,1.508,Asia,18551.428,"$9,139.11 "
Bolivia,61,5.779,0.776,,0.706,0.511,0.137,0.064,1.209,South America,11513.102,"$3,670.96 "
Hungary,62,5.758,1.201,,0.828,0.199,0.081,0.02,1.41,Europe,9684.68,"$17,463.28 "
Paraguay,63,5.743,0.855,,0.777,0.514,0.184,0.08,1.475,South America,7044.639,"$5,692.18 "
Northern Cyprus,64,5.718,1.263,,1.042,0.417,0.191,0.162,1.252,Europe,1198.575,"$27,719.69 "
Peru,65,5.697,0.96,,0.854,0.455,0.083,0.027,1.274,South America,32510.462,"$7,046.79 "
Portugal,66,5.693,1.221,,0.999,0.508,0.047,0.025,1.431,Europe,10226.178,"$23,030.79 "
Pakistan,67,5.653,0.677,,0.535,0.313,0.22,0.098,0.886,Asia,216565.317,"$1,388.24 "
Russia,68,5.648,1.183,,0.726,0.334,0.082,0.031,1.452,Asia,145872.26,"$11,162.65 "
Philippines,69,5.631,0.807,,0.657,0.558,0.117,0.107,1.293,Asia,108116.622,"$3,294.47 "
Serbia,70,5.603,1.004,,0.854,0.282,0.137,0.039,1.383,Europe,8772.228,"$7,397.69 "
Moldova,71,5.529,0.685,,0.739,0.245,0.181,0,1.328,Europe,4043.258,"$3,300.09 "
Libya,72,5.525,1.044,,0.673,0.416,0.133,0.152,1.303,Africa,6777.453,"$5,019.58 "
Montenegro,73,5.523,1.051,,0.871,0.197,0.142,0.08,1.361,Europe,627.988,"$8,703.93 "
Tajikistan,74,5.467,0.493,,0.718,0.389,0.23,0.144,1.098,Asia,9321.023,$877.34 
Croatia,75,5.432,1.155,,0.914,0.296,0.119,0.022,1.266,Europe,4130.299,"$14,949.76 "
Hong Kong,76,5.43,1.438,,1.122,0.44,0.258,0.287,1.277,Asia,7436.157,"$49,334.35 "
Dominican Republic,77,5.425,1.015,,0.779,0.497,0.113,0.101,1.401,North America,10738.957,"$8,629.25 "
Bosnia and Herzegovina,78,5.386,0.945,,0.845,0.212,0.263,0.006,1.212,Europe,3300.998,"$5,741.76 "
Turkey,79,5.373,1.183,,0.808,0.195,0.083,0.106,1.36,Asia,83429.607,"$8,957.89 "
Malaysia,80,5.339,1.221,,0.828,0.508,0.26,0.024,1.171,Asia,31949.789,"$11,136.81 "
Belarus,81,5.323,1.067,,0.789,0.235,0.094,0.142,1.465,Europe,9452.409,"$6,603.92 "
Greece,82,5.287,1.181,,0.999,0.067,0,0.034,1.156,Europe,10473.452,"$19,974.37 "
Mongolia,83,5.285,0.948,,0.667,0.317,0.235,0.038,1.531,Asia,3225.166,"$4,132.66 "
North Macedonia,84,5.274,0.983,,0.838,0.345,0.185,0.034,1.294,Europe,2083.458,"$6,096.49 "
Nigeria,85,5.265,0.696,,0.245,0.426,0.215,0.041,1.111,Africa,200963.603,"$2,222.01 "
Kyrgyzstan,86,5.261,0.551,,0.723,0.508,0.3,0.023,1.438,Asia,6415.851,"$1,292.98 "
Turkmenistan,87,5.247,1.052,,0.657,0.394,0.244,0.028,1.538,Asia,5942.094,"$7,816.02 "
Algeria,88,5.211,1.002,,0.785,0.086,0.073,0.114,1.16,Africa,43053.054,"$3,980.12 "
Morocco,89,5.208,0.801,,0.782,0.418,0.036,0.076,0.782,Africa,36471.766,"$3,345.03 "
Azerbaijan,90,5.208,1.043,,0.769,0.351,0.035,0.182,1.147,Europe,10047.719,"$4,689.38 "
Lebanon,91,5.197,0.987,,0.815,0.216,0.166,0.027,1.224,Asia,6855.709,"$9,654.81 "
Indonesia,92,5.192,0.931,,0.66,0.491,0.498,0.028,1.203,Asia,270625.567,"$4,163.76 "
China,93,5.191,1.029,,0.893,0.521,0.058,0.1,1.125,Asia,1433783.692,"$10,098.87 "
Vietnam,94,5.175,0.741,,0.851,0.543,0.147,0.073,1.346,Asia,96462.108,"$2,739.82 "
Bhutan,95,5.082,0.813,,0.604,0.457,0.37,0.167,1.321,Asia,763.094,"$3,423.05 "
Cameroon,96,5.044,0.549,,0.331,0.381,0.187,0.037,0.91,Africa,25876.387,"$1,514.60 "
Bulgaria,97,5.011,1.092,,0.815,0.311,0.081,0.004,1.513,Europe,7000.117,"$9,518.44 "
Ghana,98,4.996,0.611,,0.486,0.381,0.245,0.04,0.868,Africa,30417.858,"$2,223.42 "
Ivory Coast,99,4.944,0.569,,0.232,0.352,0.154,0.09,0.808,Africa,25716.554,$0.00 
Nepal,100,4.913,0.446,,0.677,0.439,0.285,0.089,1.226,Asia,28608.715,"$1,047.74 "
Jordan,101,4.906,0.837,,0.815,0.383,0.11,0.13,1.225,Asia,10101.697,"$4,386.61 "
Benin,102,4.883,0.393,,0.397,0.349,0.175,0.082,0.437,Africa,11801.151,"$1,216.63 "
Congo (Brazzaville),103,4.812,0.673,,0.508,0.372,0.105,0.093,0.799,Africa,5380.504,"$2,534.49 "
Gabon,104,4.799,1.057,,0.571,0.295,0.043,0.055,1.183,Africa,2172.578,"$8,112.32 "
Laos,105,4.796,0.764,,0.551,0.547,0.266,0.164,1.03,Asia,7169.456,"$2,670.21 "
South Africa,106,4.722,0.96,,0.469,0.389,0.13,0.055,1.351,Africa,58558.267,"$6,100.35 "
Albania,107,4.719,0.947,,0.874,0.383,0.178,0.027,0.848,Europe,2880.913,"$5,372.74 "
Venezuela,108,4.707,0.96,,0.805,0.154,0.064,0.047,1.427,South America,28515.829,"$2,547.76 "
Cambodia,109,4.7,0.574,,0.637,0.609,0.232,0.062,1.122,Asia,16486.542,"$1,620.64 "
Palestinian Territories,110,4.696,0.657,,0.672,0.225,0.103,0.066,1.247,Asia,4981.422,$0.00 
Senegal,111,4.681,0.45,,0.571,0.292,0.153,0.072,1.134,Africa,16296.362,"$1,427.87 "
Somalia,112,4.668,0,,0.268,0.559,0.243,0.27,0.698,Africa,15442.906,$0.00 
Namibia,113,4.639,0.879,,0.477,0.401,0.07,0.056,1.313,Africa,2494.524,"$5,842.06 "
Niger,114,4.628,0.138,,0.366,0.318,0.188,0.102,0.774,Africa,23310.719,$405.10 
Burkina Faso,115,4.587,0.331,,0.38,0.255,0.177,0.113,1.056,Africa,20321.383,$717.96 
Armenia,116,4.559,0.85,,0.815,0.283,0.095,0.064,1.055,Europe,2957.728,"$4,527.59 "
Iran,117,4.548,1.1,,0.785,0.305,0.27,0.125,0.842,Asia,82913.893,"$5,506.23 "
Guinea,118,4.534,0.38,,0.375,0.332,0.207,0.086,0.829,Africa,12771.246,$981.02 
Georgia,119,4.519,0.886,,0.752,0.346,0.043,0.164,0.666,Europe,3996.762,"$4,289.32 "
Gambia,120,4.516,0.308,,0.428,0.382,0.269,0.167,0.939,Africa,2347.696,$755.05 
Kenya,121,4.509,0.512,,0.581,0.431,0.372,0.053,0.983,Africa,52573.967,"$1,997.55 "
Mauritania,122,4.49,0.57,,0.489,0.066,0.106,0.088,1.167,Africa,4525.698,"$1,392.46 "
Mozambique,123,4.466,0.204,,0.39,0.494,0.197,0.138,0.986,Africa,30366.043,$484.41 
Tunisia,124,4.461,0.921,,0.815,0.167,0.059,0.055,1,Africa,11694.721,"$3,287.09 "
Bangladesh,125,4.456,0.562,,0.723,0.527,0.166,0.143,0.928,Asia,163046.173,"$1,905.72 "
Iraq,126,4.437,1.043,,0.574,0.241,0.148,0.089,0.98,Asia,39309.789,"$5,738.45 "
Congo (Kinshasa),127,4.418,0.094,,0.357,0.269,0.212,0.053,1.125,Africa,86790.568,$500.55 
Mali,128,4.39,0.385,,0.308,0.327,0.153,0.052,1.105,Africa,19658.023,$924.18 
Sierra Leone,129,4.374,0.268,,0.242,0.309,0.252,0.045,0.841,Africa,7813.207,$546.65 
Sri Lanka,130,4.366,0.949,,0.831,0.47,0.244,0.047,1.265,Asia,21323.734,"$3,946.59 "
Myanmar,131,4.36,0.71,,0.555,0.525,0.566,0.172,1.181,Asia,54045.422,"$1,244.73 "
Chad,132,4.35,0.35,,0.192,0.174,0.198,0.078,0.766,Africa,15946.882,$861.25 
Ukraine,133,4.332,0.82,,0.739,0.178,0.187,0.01,1.39,Europe,43993.643,"$3,592.17 "
Ethiopia,134,4.286,0.336,,0.532,0.344,0.209,0.1,1.033,Africa,112078.727,$953.18 
Swaziland,135,4.212,0.811,,0,0.313,0.074,0.135,1.149,Africa,1148.133,$0.00 
Uganda,136,4.189,0.332,,0.443,0.356,0.252,0.06,1.069,Africa,44269.587,$770.06 
Egypt,137,4.166,0.913,,0.644,0.241,0.076,0.067,1.039,Africa,100388.076,"$3,046.59 "
Zambia,138,4.107,0.578,,0.426,0.431,0.247,0.087,1.058,Africa,17861.034,"$1,307.03 "
Togo,139,4.085,0.275,,0.41,0.293,0.177,0.085,0.572,Africa,8082.359,$671.40 
India,140,4.015,0.755,,0.588,0.498,0.2,0.085,0.765,Asia,1366417.756,"$2,171.64 "
Liberia,141,3.975,0.073,,0.443,0.37,0.233,0.033,0.922,Africa,4937.374,$703.83 
Comoros,142,3.973,0.274,,0.505,0.142,0.275,0.078,0.757,Africa,850.891,"$1,349.79 "
Madagascar,143,3.933,0.274,,0.555,0.148,0.169,0.041,0.916,Africa,26969.306,$463.87 
Lesotho,144,3.802,0.489,,0.168,0.359,0.107,0.093,1.169,Africa,2125.267,"$1,338.52 "
Burundi,145,3.775,0.046,,0.38,0.22,0.176,0.18,0.447,Africa,11530.577,$309.87 
Zimbabwe,146,3.663,0.366,,0.433,0.361,0.151,0.089,1.114,Africa,14645.473,$859.95 
Haiti,147,3.597,0.323,,0.449,0.026,0.419,0.11,0.688,North America,11263.079,$784.08 
Botswana,148,3.488,1.041,,0.538,0.455,0.025,0.1,1.145,Africa,2303.703,"$7,859.18 "
Syria,149,3.462,0.619,,0.44,0.013,0.331,0.141,0.378,Asia,17070.132,$0.00 
Malawi,150,3.41,0.191,,0.495,0.443,0.218,0.089,0.56,Africa,18628.749,$370.75 
Yemen,151,3.38,0.287,,0.463,0.143,0.108,0.077,1.163,Asia,29161.922,$943.34 
Rwanda,152,3.334,0.359,,0.614,0.555,0.217,0.411,0.711,Africa,12626.938,$824.93 
Tanzania,153,3.231,0.476,,0.499,0.417,0.276,0.147,0.885,Africa,58005.461,"$1,104.79 "
Afghanistan,154,3.203,0.35,,0.361,0,0.158,0.025,0.517,Asia,38041.757,$513.11 
Central African Republic,155,3.083,0.026,,0.105,0.225,0.235,0.035,0,Africa,4745.179,$447.99 
South Sudan,156,2.853,0.306,,0.295,0.01,0.202,0.091,0.575,Africa,11062.114,$0.00 
