Needs,Belonging,Fulfillment,Accomplishment,Safety,Score,Outcome
10,10,,,10,0,2
10,10,,,5,0,1
10,10,,,1,0,1
10,5,,,10,0,1
10,5,,,5,0,0
10,5,,,1,0,0
10,1,,,10,0,1
10,1,,,5,0,0
10,1,,,1,0,0
5,10,,,10,0,1
5,10,,,5,0,0
5,10,,,1,0,0
5,5,,,10,0,0
5,5,,,5,0,0
5,5,,,1,0,0
5,1,,,10,0,0
5,1,,,5,0,0
5,1,,,1,0,0
1,10,,,10,0,1
1,10,,,5,0,1
1,10,,,1,0,1
1,5,,,10,0,0
1,5,,,5,0,0
1,5,,,1,0,0
1,1,,,10,0,0
1,1,,,5,0,0
1,1,,,1,0,0
,10,10,10,,1,3
,10,10,5,,1,1
,10,10,1,,1,0
,10,5,10,,1,1
,10,5,5,,1,0
,10,5,1,,1,0
,10,1,10,,1,1
,10,1,5,,1,0
,10,1,1,,1,0
,5,10,10,,1,1
,5,10,5,,1,0
,5,10,1,,1,0
,5,5,10,,1,1
,5,5,5,,1,1
,5,5,1,,1,1
,5,1,10,,1,2
,5,1,5,,1,1
,5,1,1,,1,1
,10,10,10,,1,3
,10,10,5,,1,1
,10,10,1,,1,1
,1,5,10,,1,1
,1,5,5,,1,1
,1,5,1,,1,1
,1,1,10,,1,1
,1,1,5,,1,1
,1,1,1,,1,1